ENSDARP00000136350.1	ENSDARP00000152373.1
ENSDARP00000094326.2	ENSDARP00000152012.1
ENSDARP00000065858.6	ENSDARP00000144830.1
ENSDARP00000082575.4	ENSDARP00000150038.1
ENSDARP00000130779.2	ENSDARP00000076954.6
ENSDARP00000025282.8	ENSDARP00000114326.1
ENSDARP00000147988.1	ENSDARP00000144739.1
ENSDARP00000057093.4	ENSDARP00000152953.1
ENSDARP00000024428.4	ENSDARP00000147022.1
ENSDARP00000102265.3	ENSDARP00000153717.1
ENSDARP00000072190.4	ENSDARP00000140306.1
ENSDARP00000072465.3	ENSDARP00000155511.1
ENSDARP00000123312.1	ENSDARP00000125151.1
ENSDARP00000112062.1	ENSDARP00000151620.1
ENSDARP00000074605.4	ENSDARP00000152305.1
ENSDARP00000078899.4	ENSDARP00000149683.1
ENSDARP00000142005.2	ENSDARP00000144861.1
ENSDARP00000121295.2	ENSDARP00000117243.3
ENSDARP00000123201.1	ENSDARP00000129900.2
ENSDARP00000064865.4	ENSDARP00000107882.2
ENSDARP00000114813.1	ENSDARP00000145434.1
ENSDARP00000137440.1	ENSDARP00000138972.1
ENSDARP00000141540.1	ENSDARP00000149942.1
ENSDARP00000147425.1	ENSDARP00000110893.3
ENSDARP00000126856.1	ENSDARP00000146268.1
ENSDARP00000008702.5	ENSDARP00000110231.2
ENSDARP00000081578.4	ENSDARP00000157285.1
ENSDARP00000118624.1	ENSDARP00000078120.6
ENSDARP00000037427.4	ENSDARP00000106007.2
ENSDARP00000126729.1	ENSDARP00000132542.2
ENSDARP00000155551.1	ENSDARP00000144502.1
ENSDARP00000127834.2	ENSDARP00000154341.1
ENSDARP00000003744.8	ENSDARP00000150302.1
ENSDARP00000111010.2	ENSDARP00000017761.7
ENSDARP00000056419.3	ENSDARP00000138764.1
ENSDARP00000073185.4	ENSDARP00000157067.1
ENSDARP00000103366.2	ENSDARP00000128547.1
ENSDARP00000110278.1	ENSDARP00000111569.4
ENSDARP00000135203.1	ENSDARP00000131358.1
ENSDARP00000083675.4	ENSDARP00000153935.1
ENSDARP00000133421.1	ENSDARP00000136835.1
ENSDARP00000133186.1	ENSDARP00000023232.8
ENSDARP00000113191.2	ENSDARP00000115425.2
ENSDARP00000061116.5	ENSDARP00000148899.1
ENSDARP00000086049.5	ENSDARP00000144692.1
ENSDARP00000070974.4	ENSDARP00000150219.1
ENSDARP00000147741.1	ENSDARP00000127197.1
ENSDARP00000062334.4	ENSDARP00000154144.1
ENSDARP00000120893.1	ENSDARP00000121998.1
ENSDARP00000006324.6	ENSDARP00000066258.4
ENSDARP00000128548.1	ENSDARP00000099312.3
ENSDARP00000085187.3	ENSDARP00000140079.2
ENSDARP00000073394.3	ENSDARP00000151127.1
ENSDARP00000093748.3	ENSDARP00000093794.3
ENSDARP00000123282.1	ENSDARP00000156580.1
ENSDARP00000017882.6	ENSDARP00000112931.1
ENSDARP00000044008.6	ENSDARP00000124185.1
ENSDARP00000033069.7	ENSDARP00000146438.1
ENSDARP00000132896.1	ENSDARP00000144563.1
ENSDARP00000054468.4	ENSDARP00000033294.6
ENSDARP00000123531.1	ENSDARP00000136481.2
ENSDARP00000125681.1	ENSDARP00000045890.6
ENSDARP00000090381.4	ENSDARP00000146068.1
ENSDARP00000006378.9	ENSDARP00000151844.1
ENSDARP00000136220.2	ENSDARP00000147457.1
ENSDARP00000100974.3	ENSDARP00000155393.1
ENSDARP00000123763.1	ENSDARP00000151248.1
ENSDARP00000077038.4	ENSDARP00000155104.1
ENSDARP00000012104.6	ENSDARP00000157012.1
ENSDARP00000094849.3	ENSDARP00000151549.1
ENSDARP00000060468.4	ENSDARP00000154442.1
ENSDARP00000142188.1	ENSDARP00000154698.1
ENSDARP00000055160.3	ENSDARP00000066505.4
ENSDARP00000118237.2	ENSDARP00000042060.7
ENSDARP00000071906.5	ENSDARP00000046437.5
ENSDARP00000154872.1	ENSDARP00000048497.8
ENSDARP00000149441.1	ENSDARP00000102922.3
ENSDARP00000119608.2	ENSDARP00000074778.5
ENSDARP00000131556.1	ENSDARP00000140945.1
ENSDARP00000101065.3	ENSDARP00000144788.1
ENSDARP00000131374.1	ENSDARP00000140649.1
ENSDARP00000061658.4	ENSDARP00000002476.6
ENSDARP00000141368.1	ENSDARP00000157638.1
ENSDARP00000045597.5	ENSDARP00000114576.1
ENSDARP00000076333.6	ENSDARP00000135689.1
ENSDARP00000012233.8	ENSDARP00000150702.1
ENSDARP00000116946.1	ENSDARP00000120392.1
ENSDARP00000097305.4	ENSDARP00000011595.8
ENSDARP00000151672.1	ENSDARP00000147959.1
ENSDARP00000055010.6	ENSDARP00000157310.1
ENSDARP00000136152.1	ENSDARP00000153082.1
ENSDARP00000054878.4	ENSDARP00000031014.7
ENSDARP00000059134.5	ENSDARP00000146742.1
ENSDARP00000011703.8	ENSDARP00000125852.1
ENSDARP00000129950.1	ENSDARP00000052433.6
ENSDARP00000095400.2	ENSDARP00000146701.1
ENSDARP00000102662.1	ENSDARP00000097694.3
ENSDARP00000134491.1	ENSDARP00000156235.1
ENSDARP00000123008.1	ENSDARP00000115377.2
ENSDARP00000070398.3	ENSDARP00000142031.2
ENSDARP00000126613.1	ENSDARP00000102022.3
ENSDARP00000083546.4	ENSDARP00000152316.1
ENSDARP00000075235.4	ENSDARP00000136413.1
ENSDARP00000130727.3	ENSDARP00000146314.1
ENSDARP00000062219.5	ENSDARP00000157077.1
ENSDARP00000152831.1	ENSDARP00000156069.1
ENSDARP00000073055.3	ENSDARP00000050527.6
ENSDARP00000118816.1	ENSDARP00000151458.1
ENSDARP00000118376.1	ENSDARP00000149023.1
ENSDARP00000129516.1	ENSDARP00000126591.1
ENSDARP00000119941.1	ENSDARP00000151885.1
ENSDARP00000075655.5	ENSDARP00000153908.1
ENSDARP00000096676.3	ENSDARP00000154650.1
ENSDARP00000123985.1	ENSDARP00000157306.1
ENSDARP00000082860.5	ENSDARP00000157357.1
ENSDARP00000072728.4	ENSDARP00000150588.1
ENSDARP00000084029.4	ENSDARP00000152141.1
ENSDARP00000033622.5	ENSDARP00000111699.2
ENSDARP00000087137.6	ENSDARP00000117164.1
ENSDARP00000037261.7	ENSDARP00000149212.1
ENSDARP00000134297.2	ENSDARP00000096279.4
ENSDARP00000139213.1	ENSDARP00000147241.1
ENSDARP00000120174.1	ENSDARP00000120481.1
ENSDARP00000134250.1	ENSDARP00000145650.1
ENSDARP00000115487.1	ENSDARP00000147029.1
ENSDARP00000041699.7	ENSDARP00000155384.1
ENSDARP00000066287.4	ENSDARP00000155587.1
ENSDARP00000121809.1	ENSDARP00000137992.2
ENSDARP00000028970.8	ENSDARP00000146408.1
ENSDARP00000096449.5	ENSDARP00000132260.2
ENSDARP00000047014.4	ENSDARP00000145075.1
ENSDARP00000126117.1	ENSDARP00000077967.4
ENSDARP00000127406.1	ENSDARP00000118306.1
ENSDARP00000081704.6	ENSDARP00000143267.1
ENSDARP00000101095.4	ENSDARP00000144898.1
ENSDARP00000068851.4	ENSDARP00000148677.1
ENSDARP00000081727.4	ENSDARP00000149836.1
ENSDARP00000107372.2	ENSDARP00000152000.1
ENSDARP00000063623.4	ENSDARP00000146529.1
ENSDARP00000147392.1	ENSDARP00000052508.6
ENSDARP00000097616.2	ENSDARP00000154251.1
ENSDARP00000020980.8	ENSDARP00000012097.8
ENSDARP00000114226.1	ENSDARP00000051555.4
ENSDARP00000122680.1	ENSDARP00000116037.2
ENSDARP00000135523.2	ENSDARP00000042001.7
ENSDARP00000065419.4	ENSDARP00000150242.1
ENSDARP00000141380.1	ENSDARP00000129028.1
ENSDARP00000100963.2	ENSDARP00000065371.6
ENSDARP00000077829.5	ENSDARP00000085314.4
ENSDARP00000130022.1	ENSDARP00000144843.1
ENSDARP00000082641.5	ENSDARP00000133829.2
ENSDARP00000054663.4	ENSDARP00000025541.4
ENSDARP00000155813.1	ENSDARP00000121019.1
ENSDARP00000142361.1	ENSDARP00000133483.2
ENSDARP00000113716.1	ENSDARP00000094008.5
ENSDARP00000015078.8	ENSDARP00000147011.1
ENSDARP00000142843.1	ENSDARP00000148622.1
ENSDARP00000126116.1	ENSDARP00000051971.6
ENSDARP00000052901.6	ENSDARP00000148613.1
ENSDARP00000140548.1	ENSDARP00000130007.2
ENSDARP00000074549.3	ENSDARP00000151721.1
ENSDARP00000065214.5	ENSDARP00000151745.1
ENSDARP00000119800.1	ENSDARP00000100330.3
ENSDARP00000135344.1	ENSDARP00000142001.1
ENSDARP00000015262.6	ENSDARP00000137556.1
ENSDARP00000107533.2	ENSDARP00000154513.1
ENSDARP00000143331.1	ENSDARP00000116122.1
ENSDARP00000132502.1	ENSDARP00000138596.2
ENSDARP00000009867.6	ENSDARP00000122549.2
ENSDARP00000114284.1	ENSDARP00000156736.1
ENSDARP00000110484.1	ENSDARP00000131387.2
ENSDARP00000015577.4	ENSDARP00000089819.3
ENSDARP00000119758.1	ENSDARP00000121645.2
ENSDARP00000022511.7	ENSDARP00000155896.1
ENSDARP00000102340.3	ENSDARP00000018251.7
ENSDARP00000142274.1	ENSDARP00000157214.1
ENSDARP00000119920.1	ENSDARP00000153020.1
ENSDARP00000116335.1	ENSDARP00000019585.8
ENSDARP00000071747.5	ENSDARP00000148091.1
ENSDARP00000084049.4	ENSDARP00000152999.1
ENSDARP00000073957.4	ENSDARP00000157068.1
ENSDARP00000153790.1	ENSDARP00000113001.1
ENSDARP00000134223.1	ENSDARP00000144991.1
ENSDARP00000118511.1	ENSDARP00000150742.1
ENSDARP00000064572.4	ENSDARP00000144715.1
ENSDARP00000117522.1	ENSDARP00000117360.1
ENSDARP00000081369.5	ENSDARP00000144882.1
ENSDARP00000054625.5	ENSDARP00000135487.2
ENSDARP00000116921.1	ENSDARP00000111196.3
ENSDARP00000093456.4	ENSDARP00000132055.1
ENSDARP00000026192.5	ENSDARP00000131381.2
ENSDARP00000031774.8	ENSDARP00000148293.1
ENSDARP00000147977.1	ENSDARP00000072249.3
ENSDARP00000080969.5	ENSDARP00000156158.1
ENSDARP00000068446.4	ENSDARP00000121698.1
ENSDARP00000138426.1	ENSDARP00000156562.1
ENSDARP00000120058.1	ENSDARP00000149528.1
ENSDARP00000119794.1	ENSDARP00000055034.7
ENSDARP00000088378.5	ENSDARP00000138097.1
ENSDARP00000121609.2	ENSDARP00000073037.3
ENSDARP00000097597.2	ENSDARP00000151300.1
ENSDARP00000129155.1	ENSDARP00000125223.1
ENSDARP00000054419.4	ENSDARP00000148295.1
ENSDARP00000008181.8	ENSDARP00000101177.4
ENSDARP00000060999.2	ENSDARP00000145245.1
ENSDARP00000004619.5	ENSDARP00000154114.1
ENSDARP00000076873.4	ENSDARP00000147189.1
ENSDARP00000122387.1	ENSDARP00000154956.1
ENSDARP00000060350.4	ENSDARP00000150440.1
ENSDARP00000134501.1	ENSDARP00000144954.1
ENSDARP00000149688.1	ENSDARP00000130503.1
ENSDARP00000060575.5	ENSDARP00000145581.1
ENSDARP00000146636.1	ENSDARP00000151968.1
ENSDARP00000119615.1	ENSDARP00000022333.5
ENSDARP00000125241.1	ENSDARP00000149150.1
ENSDARP00000114388.2	ENSDARP00000011221.8
ENSDARP00000095139.3	ENSDARP00000150881.1
ENSDARP00000081499.4	ENSDARP00000154225.1
ENSDARP00000143384.2	ENSDARP00000144207.1
ENSDARP00000138497.1	ENSDARP00000145261.1
ENSDARP00000133100.1	ENSDARP00000104585.2
ENSDARP00000019977.7	ENSDARP00000149719.1
ENSDARP00000063715.5	ENSDARP00000153416.1
ENSDARP00000124836.1	ENSDARP00000145578.1
ENSDARP00000092527.3	ENSDARP00000146442.1
ENSDARP00000041093.7	ENSDARP00000115510.2
ENSDARP00000106562.3	ENSDARP00000133826.1
ENSDARP00000069903.3	ENSDARP00000033402.3
ENSDARP00000114858.1	ENSDARP00000140497.2
ENSDARP00000054367.4	ENSDARP00000146166.1
ENSDARP00000117743.1	ENSDARP00000089098.5
ENSDARP00000095936.4	ENSDARP00000116363.1
ENSDARP00000083341.4	ENSDARP00000048706.4
ENSDARP00000043291.5	ENSDARP00000153272.1
ENSDARP00000018244.6	ENSDARP00000132850.2
ENSDARP00000122299.1	ENSDARP00000149098.1
ENSDARP00000112587.1	ENSDARP00000107939.2
ENSDARP00000143251.1	ENSDARP00000006882.8
ENSDARP00000091551.4	ENSDARP00000151135.1
ENSDARP00000061143.4	ENSDARP00000118393.1
ENSDARP00000112921.1	ENSDARP00000106302.3
ENSDARP00000012791.7	ENSDARP00000137449.2
ENSDARP00000053830.4	ENSDARP00000153602.1
ENSDARP00000135033.1	ENSDARP00000148305.1
ENSDARP00000134984.1	ENSDARP00000136651.1
ENSDARP00000065211.5	ENSDARP00000146615.1
ENSDARP00000118824.1	ENSDARP00000131112.2
ENSDARP00000106078.2	ENSDARP00000050970.4
ENSDARP00000098056.2	ENSDARP00000150762.1
ENSDARP00000102863.3	ENSDARP00000154935.1
ENSDARP00000098392.2	ENSDARP00000139699.2
ENSDARP00000044330.6	ENSDARP00000153351.1
ENSDARP00000006888.6	ENSDARP00000034077.6
ENSDARP00000107253.3	ENSDARP00000147487.1
ENSDARP00000022692.6	ENSDARP00000155126.1
ENSDARP00000023177.7	ENSDARP00000006783.8
ENSDARP00000148251.1	ENSDARP00000080428.6
ENSDARP00000117437.1	ENSDARP00000118089.2
ENSDARP00000028704.6	ENSDARP00000119522.2
ENSDARP00000135147.1	ENSDARP00000156131.1
ENSDARP00000092565.4	ENSDARP00000011656.4
ENSDARP00000113605.1	ENSDARP00000104112.3
ENSDARP00000019781.7	ENSDARP00000129886.2
ENSDARP00000157478.1	ENSDARP00000005048.7
ENSDARP00000145653.1	ENSDARP00000107249.2
ENSDARP00000106178.1	ENSDARP00000144013.2
ENSDARP00000072909.5	ENSDARP00000154628.1
ENSDARP00000090560.4	ENSDARP00000012238.5
ENSDARP00000085962.4	ENSDARP00000152014.1
ENSDARP00000041608.6	ENSDARP00000152514.1
ENSDARP00000115069.1	ENSDARP00000157430.1
ENSDARP00000005473.6	ENSDARP00000155621.1
ENSDARP00000092344.3	ENSDARP00000152397.1
ENSDARP00000072235.5	ENSDARP00000072253.3
ENSDARP00000112978.1	ENSDARP00000094591.3
ENSDARP00000135521.1	ENSDARP00000131773.2
ENSDARP00000130220.1	ENSDARP00000154274.1
ENSDARP00000098502.2	ENSDARP00000151407.1
ENSDARP00000145316.1	ENSDARP00000091082.3
ENSDARP00000142500.1	ENSDARP00000139558.1
ENSDARP00000065364.3	ENSDARP00000138186.1
ENSDARP00000120341.2	ENSDARP00000064732.7
ENSDARP00000046950.7	ENSDARP00000132966.2
ENSDARP00000068207.5	ENSDARP00000121744.1
ENSDARP00000143721.1	ENSDARP00000153879.1
ENSDARP00000129867.1	ENSDARP00000157399.1
ENSDARP00000129464.1	ENSDARP00000148205.1
ENSDARP00000063937.4	ENSDARP00000129803.1
ENSDARP00000146072.1	ENSDARP00000157225.1
ENSDARP00000112514.1	ENSDARP00000151910.1
ENSDARP00000142440.1	ENSDARP00000150213.1
ENSDARP00000119610.1	ENSDARP00000151974.1
ENSDARP00000103494.2	ENSDARP00000156752.1
ENSDARP00000066838.5	ENSDARP00000118119.1
ENSDARP00000036408.6	ENSDARP00000008656.5
ENSDARP00000009663.8	ENSDARP00000009364.9
ENSDARP00000121375.1	ENSDARP00000102138.3
ENSDARP00000099464.2	ENSDARP00000140213.2
ENSDARP00000088129.4	ENSDARP00000151972.1
ENSDARP00000142941.1	ENSDARP00000131313.1
ENSDARP00000048837.4	ENSDARP00000148940.1
ENSDARP00000016814.6	ENSDARP00000132501.1
ENSDARP00000060360.4	ENSDARP00000157377.1
ENSDARP00000143711.1	ENSDARP00000114104.2
ENSDARP00000131287.1	ENSDARP00000154732.1
ENSDARP00000110254.2	ENSDARP00000149121.1
ENSDARP00000148235.1	ENSDARP00000157322.1
ENSDARP00000096925.4	ENSDARP00000151055.1
ENSDARP00000009151.6	ENSDARP00000092894.3
ENSDARP00000090220.3	ENSDARP00000148033.1
ENSDARP00000092862.3	ENSDARP00000013958.5
ENSDARP00000076823.4	ENSDARP00000147698.1
ENSDARP00000130466.1	ENSDARP00000113217.1
ENSDARP00000011317.4	ENSDARP00000147507.1
ENSDARP00000003250.4	ENSDARP00000122395.1
ENSDARP00000133639.1	ENSDARP00000139423.2
ENSDARP00000010764.9	ENSDARP00000136954.2
ENSDARP00000128755.1	ENSDARP00000151163.1
ENSDARP00000105600.2	ENSDARP00000153331.1
ENSDARP00000073719.3	ENSDARP00000148158.1
ENSDARP00000047771.5	ENSDARP00000147856.1
ENSDARP00000109133.2	ENSDARP00000148289.1
ENSDARP00000084765.3	ENSDARP00000155606.1
ENSDARP00000020942.7	ENSDARP00000078883.4
ENSDARP00000006025.7	ENSDARP00000153547.1
ENSDARP00000056576.5	ENSDARP00000145256.1
ENSDARP00000060195.6	ENSDARP00000132617.2
ENSDARP00000065205.5	ENSDARP00000146535.1
ENSDARP00000038308.5	ENSDARP00000150530.1
ENSDARP00000096720.2	ENSDARP00000096717.2
ENSDARP00000121004.1	ENSDARP00000137896.1
ENSDARP00000016158.5	ENSDARP00000144531.1
ENSDARP00000052235.4	ENSDARP00000147123.1
ENSDARP00000012269.6	ENSDARP00000151823.1
ENSDARP00000092338.3	ENSDARP00000152812.1
ENSDARP00000065210.3	ENSDARP00000149923.1
ENSDARP00000091851.3	ENSDARP00000157470.1
ENSDARP00000119362.1	ENSDARP00000123134.1
ENSDARP00000090236.3	ENSDARP00000148529.1
ENSDARP00000037780.4	ENSDARP00000099727.3
ENSDARP00000072364.5	ENSDARP00000091060.4
ENSDARP00000065037.4	ENSDARP00000152466.1
ENSDARP00000057604.5	ENSDARP00000134061.1
ENSDARP00000052003.3	ENSDARP00000111286.2
ENSDARP00000150116.1	ENSDARP00000150968.1
ENSDARP00000058094.7	ENSDARP00000129267.1
ENSDARP00000039584.8	ENSDARP00000153818.1
ENSDARP00000132427.1	ENSDARP00000153162.1
ENSDARP00000122983.1	ENSDARP00000144806.1
ENSDARP00000096546.4	ENSDARP00000152616.1
ENSDARP00000151016.1	ENSDARP00000154489.1
ENSDARP00000061006.3	ENSDARP00000148298.1
ENSDARP00000066385.4	ENSDARP00000145647.1
ENSDARP00000061738.3	ENSDARP00000155122.1
ENSDARP00000143007.1	ENSDARP00000134622.1
ENSDARP00000127427.1	ENSDARP00000157048.1
ENSDARP00000130450.2	ENSDARP00000122596.1
ENSDARP00000143556.1	ENSDARP00000101942.3
ENSDARP00000105912.2	ENSDARP00000150131.1
ENSDARP00000105698.2	ENSDARP00000152381.1
ENSDARP00000066379.5	ENSDARP00000146950.1
ENSDARP00000091564.3	ENSDARP00000147297.1
ENSDARP00000039692.6	ENSDARP00000149920.1
ENSDARP00000144446.1	ENSDARP00000093471.4
ENSDARP00000150577.1	ENSDARP00000146895.1
ENSDARP00000059351.4	ENSDARP00000146753.1
ENSDARP00000113978.1	ENSDARP00000137307.1
ENSDARP00000140706.1	ENSDARP00000152621.1
